"MP Name","Constituency","State","House","Allocated Amount (₹)","Amount Recommended (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Balance Not Yet Paid to Vendors (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"Giriraj Singh","BEGUSARAI","Bihar","Lok Sabha",147000000,90474432,32994877,61.55,17,67,25.37,57479555,38,37,1,"N/A"
"SELVARAJ V","NAGAPATTINAM","Tamil Nadu","Lok Sabha",147000000,90469314,50673389,61.54,46,84,54.76,39795925,61,61,0,"N/A"
"Smt Supriya Sadanand Sule","BARAMATI","Maharashtra","Lok Sabha",147000000,90455903,25041557,61.53,10,126,7.94,65414346,34,32,2,"N/A"
"RADHE SHYAM RATHIYA","RAIGARH","Chhattisgarh","Lok Sabha",159706972.09,97841529,80849803,61.26,72,138,52.17,16991726,213,209,4,"N/A"
"JYOTIRADITYA M. SCINDIA","GUNA","Madhya Pradesh","Lok Sabha",147000000,89874298,55870850,61.14,46,63,73.02,34003448,99,98,1,"N/A"
"PHANI BHUSAN CHOUDHURY","BARPETA","Assam","Lok Sabha",147000000,89528000,42756247,60.9,3,87,3.45,46771753,106,103,3,"N/A"
"BAIJAYANT PANDA","KENDRAPARA","Odisha","Lok Sabha",147000000,89070000,17127535,60.59,8,56,14.29,71942465,28,28,0,"N/A"
"D M Kathir Anand","VELLORE","Tamil Nadu","Lok Sabha",160196941.11,97061477,37215042,60.59,15,83,18.07,59846435,41,39,2,"N/A"
"ANITA NAGARSINGH CHOUHAN","RATLAM","Madhya Pradesh","Lok Sabha",147000000,88997643,55091448,60.54,76,203,37.44,33906195,228,226,2,"N/A"
"MAHIMA KUMARI MEWAR","RAJSAMAND","Rajasthan","Lok Sabha",183892143,111207166,48238044,60.47,26,134,19.4,62969122,272,267,5,"N/A"
"Jagdambika Pal","DOMARIYAGANJ","Uttar Pradesh","Lok Sabha",160643957.11,97048500,38873088,60.41,1,75,1.33,58175412,50,50,0,"N/A"
"NARAYAN TATU RANE","RATNAGIRI-SINDHUDURG","Maharashtra","Lok Sabha",147000000,88763191,22993974,60.38,25,96,26.04,65769217,39,39,0,"N/A"
"DR RAJKUMAR SANGWAN","BAGHPAT","Uttar Pradesh","Lok Sabha",147000000,88712863,36662976,60.35,16,119,13.45,52049887,78,77,1,"N/A"
"PATHAN YUSUF","BAHARAMPUR","West Bengal","Lok Sabha",147000000,88677631,9360897,60.32,1,145,0.69,79316734,7,4,3,"N/A"
"ESWARASAMY K","POLLACHI","Tamil Nadu","Lok Sabha",162315106.11,97904192,59028493,60.32,47,81,58.02,38875699,59,58,1,"N/A"
"SHAMBHAVI","SAMASTIPUR","Bihar","Lok Sabha",147000000,88544621,29478647,60.23,21,127,16.54,59065974,39,30,9,"N/A"
"KADIYAM KAVYA","WARANGEL","Telangana","Lok Sabha",147000000,88497843,27189421,60.2,53,214,24.77,61308422,73,73,0,"N/A"
"Kamaljeet Sehrawat","WEST DELHI","Delhi","Lok Sabha",147000000,88481527,13075365,60.19,31,65,47.69,75406162,34,33,1,"N/A"
"MUHAMMED HAMDULLAH SAYEED","LAKSHADWEEP","Lakshadweep","Lok Sabha",153942460.41,92492350,39337535,60.08,2,28,7.14,53154815,20,20,0,"N/A"
"KAMAKHYA PRASAD TASA","Kaziranga","Assam","Lok Sabha",147000000,88319000,13430602,60.08,0,88,0,74888398,40,40,0,"N/A"
"BAJRANG MANOHAR SONWANE","BEED","Maharashtra","Lok Sabha",165899107.19,99463933,37977152,59.95,20,100,20,61486781,39,39,0,"N/A"
"ADV GOWAAL KAGADA PADAVI","NANDURBAR","Maharashtra","Lok Sabha",147816309.11,88135530,32041066,59.63,189,279,67.74,56094464,189,189,0,"N/A"
"E.T. MOHAMMED BASHEER","MALAPPURAM","Kerala","Lok Sabha",163895872.11,97648170,36606844,59.58,43,190,22.63,61041326,74,73,1,"N/A"
"K. C VENUGOPAL","ALAPPUZHA","Kerala","Lok Sabha",147000000,87573664,44331588,59.57,37,89,41.57,43242076,67,67,0,"N/A"
"SANJAY DINA PATIL","MUMBAI NORTH EAST","Maharashtra","Lok Sabha",147000000,87500000,5955517,59.52,0,40,0,81544483,3,2,1,"N/A"
"Dr Chandra Sekhar Pemmasani","GUNTUR","Andhra Pradesh","Lok Sabha",159774113.11,95101846,39657891,59.52,9,96,9.38,55443955,46,44,2,"N/A"
"Ram Shiromani","SHRAWASTI","Uttar Pradesh","Lok Sabha",151746878.11,90062310,16300060,59.35,0,1357,0,73762250,58,3,55,"N/A"
"Mr Gopal Jee Thakur","DARBHANGA","Bihar","Lok Sabha",147000000,87205268,75767756,59.32,59,179,32.96,11437512,156,156,0,"N/A"
"GOPINATH K","KRISHNAGIRI","Tamil Nadu","Lok Sabha",147000000,87039009,42753233,59.21,36,96,37.5,44285776,57,57,0,"N/A"
"S Venkatesan","MADURAI","Tamil Nadu","Lok Sabha",147000000,86773440,50415867,59.03,46,127,36.22,36357573,73,71,2,"N/A"
"Shri Janardan Singh Sigriwal ","MAHARAJGANJ","Bihar","Lok Sabha",147000000,86339856,47230253,58.73,27,74,36.49,39109603,45,44,1,"N/A"
"Santosh Pandey","RAJNANDGAON","Chhattisgarh","Lok Sabha",147000000,86253260,62035049,58.68,72,177,40.68,24218211,251,244,7,"N/A"
"Chandra Prakash Joshi","CHITTORGARH","Rajasthan","Lok Sabha",147000000,85832214,4980185,58.39,10,196,5.1,80852029,42,41,1,"N/A"
"DR. SHARMILA SARKAR","BARDHAMAN PURBA","West Bengal","Lok Sabha",147000000,85735589,21224009,58.32,17,111,15.32,64511580,33,25,8,"N/A"
"SAYANI GHOSH","JADAVPUR","West Bengal","Lok Sabha",147000000,85269420,49785004,58.01,115,214,53.74,35484416,129,129,0,"N/A"
"LOVELY ANAND","SHEOHAR","Bihar","Lok Sabha",147000000,84963896,43561211,57.8,25,90,27.78,41402685,39,37,2,"N/A"
"VIVEK THAKUR","NAWADA","Bihar","Lok Sabha",147000000,84770897,6537792,57.67,1,85,1.18,78233105,9,5,4,"N/A"
"Smt Poonamben Hematbhai Maadam","JAMNAGAR","Gujarat","Lok Sabha",147000000,84730944,26767387,57.64,48,179,26.82,57963557,62,57,5,"N/A"
"BRIJENDRA SINGH OLA","JHUNJHUNU","Rajasthan","Lok Sabha",147000000,84117714,57494662,57.22,94,167,56.29,26623052,450,448,2,"N/A"
"TARIQ ANWAR","KATIHAR","Bihar","Lok Sabha",147000000,83725060,79735060,56.96,60,86,69.77,3990000,82,82,0,"N/A"
"SUKANTA KUMAR PANIGRAHI","KANDHAMAL","Odisha","Lok Sabha",190712424.11,107662769,54209040,56.45,148,353,41.93,53453729,352,347,5,"N/A"
